"Year","DataType","Stat","variable","value"
"2012","Sim","mean","k",-1.69050021350735
"2013","Sim","mean","k",-1.13162423252799
"2014","Sim","mean","k",-1.40681458588346
"2012-14","Sim","mean","k",-2.28472712142744
"2012","Sim","min","k",-3.05872236191116
"2013","Sim","min","k",-2.79365182743809
"2014","Sim","min","k",-3.37926054455264
"2012-14","Sim","min","k",-3.32077996861764
"2012","Sim","max","k",7.27926181246641
"2013","Sim","max","k",4.32860805074478
"2014","Sim","max","k",6.59870908004389
"2012-14","Sim","max","k",5.37665489568952
"2012","Sim","cv_within","k",NA
"2013","Sim","cv_within","k",NA
"2014","Sim","cv_within","k",NA
"2012-14","Sim","cv_within","k",NA
"2012","Sim","mean","theta",1.47361151234929
"2013","Sim","mean","theta",0.76609126700747
"2014","Sim","mean","theta",3.17257178002979
"2012-14","Sim","mean","theta",1.47635170933201
"2012","Sim","min","theta",0.15
"2013","Sim","min","theta",0.210742577142068
"2014","Sim","min","theta",0.15
"2012-14","Sim","min","theta",0.171410191339684
"2012","Sim","max","theta",8
"2013","Sim","max","theta",1.83873542729457
"2014","Sim","max","theta",8
"2012-14","Sim","max","theta",8
"2012","Sim","cv_within","theta",0.794236211622263
"2013","Sim","cv_within","theta",0.360405795797709
"2014","Sim","cv_within","theta",1.08392167631094
"2012-14","Sim","cv_within","theta",0.695061750634553
"2012","Sim","mean","mdd",32.0516993541974
"2013","Sim","mean","mdd",7.54745075633653
"2014","Sim","mean","mdd",166.778991768443
"2012-14","Sim","mean","mdd",10.5606278708988
"2012","Sim","min","mdd",7.73141892280599
"2013","Sim","min","mdd",5.41429314090928
"2014","Sim","min","mdd",8.19000656370059
"2012-14","Sim","min","mdd",2.99815402180347
"2012","Sim","max","mdd",3918.2656207456
"2013","Sim","max","mdd",93.4844552000894
"2014","Sim","max","mdd",8492.4733153884
"2012-14","Sim","max","mdd",909.227857511913
"2012","Sim","cv_within","mdd",6.9510926805141
"2013","Sim","cv_within","mdd",0.425065729590248
"2014","Sim","cv_within","mdd",5.13565264976419
"2012-14","Sim","cv_within","mdd",2.70226365924973
"2012","Sim","mean","med",8.11014
"2013","Sim","mean","med",4.28959
"2014","Sim","mean","med",23.23978
"2012-14","Sim","mean","med",7.0737
"2012","Sim","min","med",4.94
"2013","Sim","min","med",2.94
"2014","Sim","min","med",5.61
"2012-14","Sim","min","med",1.71
"2012","Sim","max","med",302.55
"2013","Sim","max","med",15.17
"2014","Sim","max","med",655.75
"2012-14","Sim","max","med",96.86
"2012","Sim","cv_within","med",2.0635508867202
"2013","Sim","cv_within","med",0.18245760587327
"2014","Sim","cv_within","med",2.91744810724975
"2012-14","Sim","cv_within","med",0.436594141765951
"2012","Sim","mean","dist90",62.11712
"2013","Sim","mean","dist90",18.18786
"2014","Sim","mean","dist90",313.11941
"2012-14","Sim","mean","dist90",23.23996
"2012","Sim","min","dist90",16.15
"2013","Sim","min","dist90",12.8
"2014","Sim","min","dist90",16.63
"2012-14","Sim","min","dist90",7.35
"2012","Sim","max","dist90",6838.88
"2013","Sim","max","dist90",207.27
"2014","Sim","max","dist90",14822.64
"2012-14","Sim","max","dist90",1777.64
"2012","Sim","cv_within","dist90",6.25714430079552
"2013","Sim","cv_within","dist90",0.410719412990124
"2014","Sim","cv_within","dist90",4.83879105200033
"2012-14","Sim","cv_within","dist90",2.40490554731034
"2012","Gen","MLE","k",-2.36
"2013","Gen","MLE","k",4.04
"2014","Gen","MLE","k",0.49
"2012-14","Gen","MLE","k",1.68
"2012","Gen","MLE","theta",1.03
"2013","Gen","MLE","theta",0.22
"2014","Gen","MLE","theta",0.38
"2012-14","Gen","MLE","theta",0.3
"2012","Gen","MLE","mdd",10.17
"2013","Gen","MLE","mdd",69.59
"2014","Gen","MLE","mdd",15.04
"2012-14","Gen","MLE","mdd",27.77
"2012","Gen","MLE","med",7.13
"2013","Gen","MLE","med",12.2
"2014","Gen","MLE","med",5.53
"2012-14","Gen","MLE","med",7.71
"2012","Gen","MLE","dist90",23.29
"2013","Gen","MLE","dist90",157.36
"2014","Gen","MLE","dist90",38.13
"2012-14","Gen","MLE","dist90",68.69
"2012","Gen","MLE","Adj",NA
"2013","Gen","MLE","Adj",NA
"2014","Gen","MLE","Adj",NA
"2012-14","Gen","MLE","Adj",NA
