data_source,time_id,k,theta,mdd
simulation_08PLD,2012,-0.388 -0.388 -0.386,0.637 0.637 0.637,3.77 3.77822423644382 3.78
simulation_08PLD,2013,-0.645 -0.642 -0.642,0.679 0.679 0.68,4.07 4.08070541961774 4.1
simulation_08PLD,2014,0.074 0.076 0.076,0.564 0.564 0.565,3.49 3.50478307903728 3.51
simulation_08PLD,2012-4,-0.314 -0.312 -0.312,0.621 0.621 0.622,3.76 3.77061337467421 3.79
simulation_08PLD,Amihan,-0.433 -0.432 -0.43,0.657 0.657 0.657,3.61 3.61771857692861 3.62
simulation_08PLD,Habagat,0.234 0.239 0.247,0.467 0.467 0.467,6.33 6.35451159370473 6.41
genetics,2012,-3.494 -3.271 -3.2,1.94 3.529 4.337,11.93 13.02 18.81
genetics,2013,-3.289 -3.275 -3.191,4.372 5 5,11.75 12.77 13.03
genetics,2014,1.861 1.972 2.506,0.215 0.26 0.268,32.82 76 836.81
genetics,2012-4,-0.469 -0.226 -0.116,0.434 0.439 0.453,10.5 13.69 18.5
genetics,Amihan,0.349 0.764 0.856,0.324 0.373 0.414,6.32 12.87 52.55
genetics,Habagat,-3.451 -3.384 -3.324,4.398 5 5,13.42 14.25 15.32
