"site","lon","lat"
"Cabatoan",124.727,10.8554
"Caridad Cemetery",124.7469,10.8363
"Caridad Proper",124.7508,10.8306
"Elementary School",124.7684,10.7989
"Gabas",124.7934,10.7279
"Haina",124.7813,10.6409
"Hicgop South",124.7635,10.8137
"Magbangon",124.7253,10.8569
"Palanas",124.7113,10.8737
"Poroc Rose",124.7852,10.7555
"Poroc San Flower",124.7853,10.7641
"San Agustin",124.7836,10.769
"Sitio Baybayon",124.7755,10.6365
"Sitio Lonas",124.783,10.7744
"Sitio Tugas",124.7664,10.806
"Tamakin Dacot",124.7838,10.6526
"Visca",124.7865,10.7442
"Wangag",124.7152,10.8707
"CAI",124.4388,10.6873333333333
"SF1",124.71580974913,10.8627026417047
"SF2",124.736666520472,10.8416429361042
"SF3",124.753298723178,10.8201652330788
"SF4",124.771928276203,10.7830733279785
"SF5",124.787844218967,10.73239640117
"SF6",124.746253949015,10.6633041323965
